"cust","x","t.x","litt","sales","first","T.cal"
247,0,0,0,80,2019-06-15,15.2857142857143
248,0,0,0,65,2019-08-19,6
249,18,54,0.831882555231091,2470,2018-04-13,76.4285714285714
250,4,45.4285714285714,6.8919712219658,1730,2018-07-20,62.4285714285714
251,1,16.8571428571429,2.82477447541035,240,2018-12-22,40.2857142857143
252,0,0,0,282.5,2019-06-27,13.5714285714286
253,0,0,0,660.38,2018-03-01,82.5714285714286
254,0,0,0,100,2019-01-10,37.5714285714286
255,0,0,0,130,2019-02-06,33.7142857142857
256,3,13.2857142857143,0.237615583922742,280,2018-10-10,50.7142857142857
257,0,0,0,103.77,2018-04-26,74.5714285714286
258,0,0,0,89,2018-04-19,75.5714285714286
259,1,8.14285714285714,2.09714111877924,310,2018-07-13,63.4285714285714
260,0,0,0,104,2018-10-25,48.5714285714286
261,0,0,0,70,2018-09-23,53.1428571428571
262,1,11,2.39789527279837,210,2019-03-09,29.2857142857143
263,1,6.28571428571429,1.83827948486295,150,2019-05-13,20
264,0,0,0,120,2019-08-03,8.28571428571429
265,1,3.14285714285714,1.145132304303,180,2019-03-09,29.2857142857143
266,8,36.8571428571429,8.3288808772821,696.6,2018-09-29,52.2857142857143
267,0,0,0,150,2019-03-31,26.1428571428571
268,0,0,0,440,2018-12-26,39.7142857142857
269,0,0,0,100,2019-03-03,30.1428571428571
270,2,0.285714285714286,-3.89182029811063,280,2018-11-15,45.5714285714286
271,0,0,0,70,2018-04-27,74.4285714285714
272,0,0,0,130,2018-09-29,52.2857142857143
273,0,0,0,350,2019-03-28,26.5714285714286
274,0,0,0,320,2019-02-22,31.4285714285714
275,0,0,0,180,2018-10-29,48
276,4,41.7142857142857,8.03806100968326,390,2018-03-09,81.4285714285714
277,5,1.57142857142857,-5.85834973436868,1300,2018-11-01,47.5714285714286
278,0,0,0,130,2018-05-09,72.7142857142857
279,0,0,0,360,2019-02-04,34
280,1,20.2857142857143,3.00991690854595,206,2018-03-30,78.4285714285714
281,7,73,9.6031492206271,873.96,2018-04-06,77.4285714285714
282,0,0,0,120,2019-01-20,36.1428571428571
283,0,0,0,130,2019-02-15,32.4285714285714
284,1,0.571428571428571,-0.559615787935423,540,2019-08-30,4.42857142857143
285,0,0,0,120,2019-04-26,22.4285714285714
286,0,0,0,300,2018-03-15,80.5714285714286
287,2,1.14285714285714,-1.40691364832263,172,2018-10-12,50.4285714285714
288,0,0,0,120,2018-06-07,68.5714285714286
289,1,15.2857142857143,2.72691868540659,140,2018-12-19,40.7142857142857
290,0,0,0,100,2018-12-24,40
291,1,0.142857142857143,-1.94591014905531,130,2018-06-23,66.2857142857143
292,2,0.285714285714286,-3.89182029811063,311.31,2018-05-28,70
293,1,1.85714285714286,0.619039208406224,200,2018-12-23,40.1428571428571
294,3,46,6.576696932205,523.02,2018-04-07,77.2857142857143
295,1,10.1428571428571,2.316769727986,233.77,2018-01-30,86.8571428571429
296,0,0,0,130,2019-01-04,38.4285714285714
297,0,0,0,304,2018-09-20,53.5714285714286
298,0,0,0,260,2018-09-15,54.2857142857143
299,0,0,0,80,2018-11-01,47.5714285714286
300,0,0,0,280,2019-06-14,15.4285714285714
301,1,0.142857142857143,-1.94591014905531,380,2018-11-23,44.4285714285714
302,0,0,0,103.77,2018-04-21,75.2857142857143
303,0,0,0,256,2019-08-18,6.14285714285714
304,0,0,0,70,2019-05-01,21.7142857142857
305,0,0,0,240,2018-04-18,75.7142857142857
306,0,0,0,91,2019-04-28,22.1428571428571
307,2,9.71428571428571,1.86075234071501,183,2018-09-18,53.8571428571429
308,0,0,0,160,2018-07-27,61.4285714285714
309,0,0,0,79,2019-02-28,30.5714285714286
310,2,4.71428571428571,0.607989372219638,421.5,2018-05-05,73.2857142857143
311,0,0,0,330.19,2017-12-14,93.5714285714286
312,0,0,0,120,2018-11-26,44
313,0,0,0,80,2018-09-29,52.2857142857143
314,4,51,7.57455249763036,485,2018-05-12,72.2857142857143
315,0,0,0,150,2018-09-14,54.4285714285714
316,0,0,0,130,2018-09-07,55.4285714285714
317,1,9,2.19722457733622,345,2019-06-21,14.4285714285714
318,2,0.428571428571429,-3.19867311755068,360,2019-02-14,32.5714285714286
319,3,0.714285714285714,-4.73911815849783,855,2017-12-15,93.4285714285714
320,0,0,0,130,2019-01-07,38
321,0,0,0,250,2018-10-04,51.5714285714286
322,1,0.285714285714286,-1.25276296849537,401,2018-10-12,50.4285714285714
323,0,0,0,100,2018-11-11,46.1428571428571
324,1,0.142857142857143,-1.94591014905531,210,2018-11-04,47.1428571428571
325,0,0,0,70,2019-03-16,28.2857142857143
326,1,1,0,260,2019-09-20,1.42857142857143
327,1,0.142857142857143,-1.94591014905531,120,2019-01-11,37.4285714285714
328,7,71,9.03922019892264,964,2017-08-30,108.714285714286
329,2,42.4285714285714,6.03976868453638,180.47,2018-03-08,81.5714285714286
330,1,0.142857142857143,-1.94591014905531,179,2019-03-23,27.2857142857143
331,0,0,0,70,2019-03-16,28.2857142857143
332,2,0.428571428571429,-3.19867311755068,470,2019-09-16,2
333,0,0,0,80,2018-11-08,46.5714285714286
334,4,0.571428571428571,-7.78364059622125,551,2019-02-16,32.2857142857143
335,0,0,0,200,2019-09-06,3.42857142857143
336,1,1.85714285714286,0.619039208406224,150,2018-07-08,64.1428571428571
337,0,0,0,80,2018-12-11,41.8571428571429
338,0,0,0,130,2019-02-23,31.2857142857143
339,2,24.8571428571429,5.02078766556027,270,2018-09-21,53.4285714285714
340,0,0,0,130,2018-12-31,39
341,0,0,0,60,2019-03-02,30.2857142857143
342,6,38.2857142857143,6.52473037313168,480,2018-09-17,54
343,0,0,0,80,2018-11-10,46.2857142857143
344,0,0,0,180,2019-01-19,36.2857142857143
345,0,0,0,140,2019-03-18,28
346,4,5,0.559199208050206,390,2019-08-17,6.28571428571429
347,0,0,0,120,2018-12-27,39.5714285714286
348,0,0,0,460,2018-03-02,82.4285714285714
349,0,0,0,130,2018-05-04,73.4285714285714
350,1,0.142857142857143,-1.94591014905531,190,2019-06-15,15.2857142857143
351,0,0,0,80,2019-02-19,31.8571428571429
352,0,0,0,130,2019-05-30,17.5714285714286
353,0,0,0,160,2018-06-30,65.2857142857143
354,0,0,0,350,2019-06-21,14.4285714285714
355,0,0,0,40,2018-06-23,66.2857142857143
356,2,37.2857142857143,5.34067287850669,290,2018-06-29,65.4285714285714
357,4,19.2857142857143,6.15576759839926,440,2019-02-24,31.1428571428571
358,3,1.28571428571429,-2.84199817361195,870,2019-04-23,22.8571428571429
359,0,0,0,120,2019-08-13,6.85714285714286
360,0,0,0,80,2019-01-05,38.2857142857143
361,0,0,0,754.72,2018-04-19,75.5714285714286
362,0,0,0,130,2019-03-16,28.2857142857143
363,24,22.4285714285714,-15.8005997850734,3052,2018-12-11,41.8571428571429
364,0,0,0,130,2017-10-19,101.571428571429
365,0,0,0,130,2018-09-16,54.1428571428571
366,0,0,0,110,2019-03-08,29.4285714285714
367,0,0,0,110,2018-09-12,54.7142857142857
368,9,12.8571428571429,-5.83244900593651,1698,2019-04-09,24.8571428571429
369,0,0,0,50,2018-10-10,50.7142857142857
370,10,76,3.47046882085962,1748.48,2018-03-16,80.4285714285714
371,4,22.7142857142857,-2.7337845889717,314,2019-03-31,26.1428571428571
372,1,0.285714285714286,-1.25276296849537,550,2018-11-12,46
373,0,0,0,80,2018-08-04,60.2857142857143
374,1,56,4.02535169073515,305.1,2018-06-24,66.1428571428571
375,0,0,0,130,2019-04-11,24.5714285714286
376,2,19.8571428571429,4.59078144853599,380,2018-12-30,39.1428571428571
377,3,0.428571428571429,-5.83773044716594,560,2019-04-01,26
378,0,0,0,131,2018-05-08,72.8571428571429
379,0,0,0,150,2018-11-24,44.2857142857143
380,0,0,0,130,2018-01-28,87.1428571428571
381,0,0,0,230,2019-02-01,34.4285714285714
382,1,0.142857142857143,-1.94591014905531,260,2018-08-28,56.8571428571429
383,9,66.1428571428571,3.51319248084421,777.5,2018-06-22,66.4285714285714
384,0,0,0,120,2019-04-04,25.5714285714286
385,0,0,0,80,2019-03-14,28.5714285714286
386,1,0.142857142857143,-1.94591014905531,250,2018-01-01,91
387,0,0,0,110,2018-12-15,41.2857142857143
388,0,0,0,60,2018-12-26,39.7142857142857
389,0,0,0,130,2018-06-08,68.4285714285714
390,0,0,0,100,2018-12-26,39.7142857142857
391,0,0,0,250,2018-12-15,41.2857142857143
